month,city,temp
1, 吉安县,8.5
2, 吉安县,6.5
3, 吉安县,17
4, 吉安县,20
5, 吉安县,21.8
6, 吉安县,27.6
7, 吉安县,32
8, 吉安县,32.7
9, 吉安县,28
10, 吉安县,21.4
11, 吉安县,18.4
12, 吉安县,7.8
1,丁青,-4.5
2,丁青,-4.8
3,丁青,1.4
4,丁青,3.8
5,丁青,6.3
6,丁青,9.4
7,丁青,10.5
8,丁青,11.1
9,丁青,9
10,丁青,5
11,丁青,0
12,丁青,-4.9
1,万源,5
2,万源,4.9
3,万源,14.3
4,万源,16.8
5,万源,20.3
6,万源,24.4
7,万源,25.7
8,万源,27.4
9,万源,20.9
10,万源,15.7
11,万源,12.5
12,万源,5.3
1,三穗,4.6
2,三穗,3.2
3,三穗,14
4,三穗,16.8
5,三穗,18.6
6,三穗,24.2
7,三穗,27.8
8,三穗,28
9,三穗,24.2
10,三穗,17.4
11,三穗,14.7
12,三穗,5.7
1,上川岛,17.4
2,上川岛,14
3,上川岛,21.2
4,上川岛,22.9
5,上川岛,24.8
6,上川岛,28.3
7,上川岛,29.7
8,上川岛,28.2
9,上川岛,28.7
10,上川岛,25.2
11,上川岛,22.6
12,上川岛,15.2
3,东乌珠穆沁,-0.4
4,东乌珠穆沁,6.1
5,东乌珠穆沁,11.8
6,东乌珠穆沁,18.2
7,东乌珠穆沁,22.4
8,东乌珠穆沁,17.4
9,东乌珠穆沁,15.7
10,东乌珠穆沁,4.1
11,东乌珠穆沁,0.7
1,东兴区,8.3
2,东兴区,8.5
3,东兴区,17.6
4,东兴区,18.5
5,东兴区,21.3
6,东兴区,25.1
7,东兴区,27.7
8,东兴区,29.7
9,东兴区,22.9
10,东兴区,19
11,东兴区,15.9
12,东兴区,7.6
1,东台,3.7
2,东台,3.7
3,东台,11.1
4,东台,16.1
5,东台,20.4
6,东台,26.9
7,东台,29.2
8,东台,29.5
9,东台,22.5
10,东台,16.3
11,东台,13.8
12,东台,3.5
1,东方,21.6
2,东方,18.8
3,东方,25
4,东方,25.5
5,东方,27.6
6,东方,30.8
7,东方,29.7
8,东方,29.3
9,东方,28.8
10,东方,25.7
11,东方,25.9
12,东方,19.6
1,东胜,-4.1
2,东胜,-4.1
3,东胜,6.7
4,东胜,9.9
5,东胜,15.7
6,东胜,20.3
7,东胜,21.9
8,东胜,19.7
9,东胜,16.5
10,东胜,8.9
11,东胜,3.9
1,中宁,-2.1
2,中宁,-1.1
3,中宁,10.9
4,中宁,14
5,中宁,18.5
6,中宁,23.3
7,中宁,23.6
8,中宁,21.3
9,中宁,20.2
10,中宁,11.8
11,中宁,6
12,中宁,-5.8
1,丰宁,-4.1
2,丰宁,2.3
3,丰宁,3.4
4,丰宁,10.8
5,丰宁,15.7
