month,province,pressure
1,上海,1026.2
1,云南,1016.0
1,内蒙古,1026.2
1,北京,1028.7
1,吉林,1021.8
1,四川,1019.2
1,天津,1027.8
1,宁夏,1027.4
1,安徽,1026.3
1,山东,1027.9
1,山西,1028.0
1,广东,1019.8
1,广西,1019.8
1,新疆,1026.4
1,江苏,1027.1
1,江西,1023.9
1,河北,1028.0
1,河南,1027.6
1,浙江,1025.0
1,海南,1016.6
1,湖北,1026.3
1,湖南,1025.1
1,澳门,1019.1
1,甘肃,1024.6
1,福建,1022.0
1,西藏,1016.3
1,贵州,1021.2
1,辽宁,1024.5
1,重庆,1023.3
1,陕西,1026.2
1,青海,1022.7
1,香港,1018.9
2,上海,1027.7
2,云南,1015.5
2,内蒙古,1023.2
2,北京,1024.0
2,吉林,1018.8
2,四川,1019.9
2,天津,1024.0
2,宁夏,1024.6
2,安徽,1027.3
2,山东,1026.2
2,山西,1026.1
2,广东,1020.9
2,广西,1021.4
2,新疆,1028.6
2,江苏,1028.0
2,江西,1025.5
2,河北,1024.0
2,河南,1027.5
2,浙江,1026.5
2,海南,1017.3
2,湖北,1027.2
2,湖南,1026.6
2,澳门,1019.8
2,甘肃,1024.7
2,福建,1023.2
2,西藏,1014.2
2,贵州,1023.2
2,辽宁,1022.7
2,重庆,1024.6
2,陕西,1026.5
2,青海,1017.6
2,香港,1019.5
2,黑龙江,1010.2
3,上海,1018.0
3,云南,1009.9
3,内蒙古,1014.0
3,北京,1017.4
3,吉林,1016.3
3,四川,1011.7
3,天津,1017.9
3,宁夏,1012.7
3,安徽,1017.0
3,山东,1018.2
3,山西,1016.1
3,广东,1014.2
3,广西,1012.9
3,新疆,1018.5
3,江苏,1018.2
3,江西,1015.6
3,河北,1017.4
3,河南,1017.3
3,浙江,1017.7
3,海南,1012.1
3,湖北,1016.5
3,湖南,1015.8
3,澳门,1014.2
3,甘肃,1014.9
3,福建,1015.7
3,西藏,1010.0
3,贵州,1012.7
3,辽宁,1017.3
3,重庆,1013.8
3,陕西,1015.4
3,青海,1013.4
3,香港,1014.0
3,黑龙江,1012.7
4,上海,1016.7
4,云南,1011.5
4,内蒙古,1013.8
4,北京,1015.1
4,台湾,1009.5
4,吉林,1013.9
4,四川,1013.3
4,天津,1015.9
4,宁夏,1014.5
4,安徽,1016.0
4,山东,1016.4
4,山西,1015.1
4,广东,1014.1
4,广西,1013.2
4,新疆,1015.0
4,江苏,1016.7
4,江西,1015.3
4,河北,1015.4
4,河南,1015.5
4,浙江,1016.7
4,海南,1012.0
4,湖北,1015.5
4,湖南,1015.5
4,澳门,1014.0
4,甘肃,1016.1
4,福建,1015.4
4,西藏,1008.9
4,贵州,1014.2
4,辽宁,1014.7
4,重庆,1014.5
4,陕西,1015.5
4,青海,1012.0
4,香港,1014.0
4,黑龙江,1011.9
5,上海,1013.0
5,云南,1007.7
5,内蒙古,1009.5
5,北京,1010.6
5,吉林,1009.9
5,四川,1009.1
5,天津,1011.0
5,宁夏,1009.6
5,安徽,1012.2
5,山东,1012.0
5,山西,1011.7
5,广东,1010.0
5,广西,1009.4
5,新疆,1008.5
5,江苏,1012.6
5,江西,1011.5
5,河北,1010.8
5,河南,1011.9
5,浙江,1013.1
5,海南,1008.1
5,湖北,1011.9
5,湖南,1011.8
5,澳门,1009.9
5,甘肃,1010.4
5,福建,1011.8
5,西藏,1005.2
5,贵州,1010.5
5,辽宁,1010.5
5,重庆,1010.5
5,陕西,1011.0
5,青海,1007.8
5,香港,1009.7
5,黑龙江,1007.8
6,上海,1005.6
6,云南,1004.7
6,内蒙古,1004.7
6,北京,1004.7
6,吉林,1007.4
6,四川,1004.8
6,天津,1004.6
6,宁夏,1003.5
6,安徽,1004.1
6,山东,1005.0
6,山西,1004.2
6,广东,1006.0
6,广西,1004.1
6,新疆,1005.5
6,江苏,1004.8
6,江西,1005.0
6,河北,1004.6
6,河南,1003.4
6,浙江,1006.4
6,海南,1005.0
6,湖北,1003.6
6,湖南,1004.0
6,澳门,1006.4
6,甘肃,1004.9
6,福建,1006.6
6,西藏,1002.5
6,贵州,1004.5
6,辽宁,1006.4
6,重庆,1004.1
6,陕西,1004.1
6,青海,1005.1
6,香港,1006.4
6,黑龙江,1007.4
7,上海,1004.5
7,云南,1004.7
7,内蒙古,1003.7
7,北京,1004.2
7,吉林,1006.6
7,四川,1004.6
7,天津,1004.2
7,宁夏,1003.4
7,安徽,1004.3
7,山东,1004.6
7,山西,1004.5
7,广东,1006.2
7,广西,1005.2
7,新疆,1005.4
7,江苏,1004.2
7,江西,1004.7
7,河北,1004.4
7,河南,1003.7
7,浙江,1005.0
7,海南,1005.6
7,湖北,1003.6
7,湖南,1004.3
7,澳门,1006.8
7,甘肃,1004.6
7,福建,1005.8
7,西藏,1003.7
7,贵州,1004.0
7,辽宁,1005.6
7,重庆,1003.5
7,陕西,1004.2
7,青海,1005.4
7,香港,1006.3
7,黑龙江,1005.8
8,上海,1006.8
8,云南,1004.8
8,内蒙古,1007.2
8,北京,1007.2
8,吉林,1007.3
8,四川,1003.9
8,天津,1007.4
8,宁夏,1007.6
8,安徽,1006.5
8,山东,1007.3
8,山西,1007.7
8,广东,1007.0
8,广西,1005.6
8,新疆,1008.6
8,江苏,1006.7
8,江西,1006.5
8,河北,1007.5
