province,month,temp,temp_forecast
上海,1,6.7,7.37
上海,2,6.1,6.71
上海,3,13.6,14.96
上海,4,17.4,19.14
上海,5,20.7,22.77
上海,6,26.7,29.37
上海,7,31.4,34.54
上海,8,31.2,34.32
上海,9,24.6,27.06
上海,10,19,20.9
上海,11,16.4,18.04
上海,12,6.8,7.48
云南,1,10.3,11.33
云南,2,10.1,11.11
云南,3,17.1,18.81
云南,4,16.6,18.26
云南,5,18.3,20.13
云南,6,20.3,22.33
云南,7,21.8,23.98
云南,8,21.6,23.76
云南,9,19.8,21.78
云南,10,17.4,19.14
云南,11,15,16.5
云南,12,10.3,11.33
内蒙古,1,-3.8,-4.18
内蒙古,2,-3.3,-3.63
内蒙古,3,2.9,3.19
内蒙古,4,8.1,8.91
内蒙古,5,14,15.4
内蒙古,6,18.9,20.79
内蒙古,7,22.2,24.42
内蒙古,8,19.2,21.12
内蒙古,9,16,17.6
内蒙古,10,6.6,7.26
内蒙古,11,1.3,1.43
内蒙古,12,-5.9,-6.49
北京,1,-2.3,-2.53
北京,2,0.3,0.33
北京,3,6.7,7.37
北京,4,15.7,17.27
北京,5,20.7,22.77
北京,6,25.1,27.61
北京,7,27.2,29.92
北京,8,25.7,28.27
北京,9,22.1,24.31
北京,10,12.3,13.53
北京,11,7.3,8.03
北京,12,-0.5,-0.55
台湾,1,18,19.8
台湾,2,17,18.7
台湾,3,21.4,23.54
台湾,4,23.2,25.52
台湾,5,24.4,26.84
台湾,6,28.4,31.24
台湾,7,29.8,32.78
台湾,8,29.5,32.45
台湾,9,27.6,30.36
台湾,10,25,27.5
台湾,11,24.1,26.51
台湾,12,17.8,19.58
吉林,1,-4.9,-5.39
吉林,2,-1.8,-1.98
吉林,3,1.4,1.54
吉林,4,9.9,10.89
吉林,5,14.8,16.28
吉林,6,19.6,21.56
吉林,7,23.7,26.07
吉林,8,20.9,22.99
吉林,9,16.7,18.37
吉林,10,6.8,7.48
吉林,11,0.7,0.77
吉林,12,-5.8,-6.38
四川,1,5.8,6.38
四川,2,5.2,5.72
四川,3,11.9,13.09
四川,4,10.8,11.88
四川,5,14.3,15.73
四川,6,17.1,18.81
四川,7,18.3,20.13
四川,8,20.3,22.33
四川,9,15.5,17.05
四川,10,12.2,13.42
四川,11,9.8,10.78
四川,12,5.2,5.72
天津,1,-1.3,-1.43
天津,2,1.7,1.87
天津,3,7.4,8.14
天津,4,16.5,18.15
天津,5,21.9,24.09
天津,6,25.7,28.27
天津,7,27.7,30.47
天津,8,26.4,29.04
天津,9,23.5,25.85
天津,10,14.2,15.62
天津,11,9.1,10.01
天津,12,-1.3,-1.43
宁夏,1,-2.5,-2.75
宁夏,2,-1.3,-1.43
宁夏,3,10.4,11.44
宁夏,4,13.1,14.41
宁夏,5,17.8,19.58
宁夏,6,22.7,24.97
宁夏,7,23,25.3
宁夏,8,21.1,23.21
宁夏,9,18.6,20.46
宁夏,10,10.6,11.66
宁夏,11,5,5.5
宁夏,12,0.9,0.99
安徽,1,4.4,4.84
安徽,2,4.4,4.84
安徽,3,12.8,14.08
安徽,4,17,18.7
安徽,5,20.2,22.22
安徽,6,26.5,29.15
安徽,7,28.8,31.68
安徽,8,29.3,32.23
安徽,9,23.3,25.63
安徽,10,17,18.7
安徽,11,13.9,15.29
安徽,12,4.1,4.51
山东,1,0.4,0.44
山东,2,2.7,2.97
山东,3,8.5,9.35
山东,4,14.7,16.17
山东,5,19.5,21.45
山东,6,23.8,26.18
山东,7,26,28.6
山东,8,25.8,28.38
山东,9,22,24.2
山东,10,14.4,15.84
山东,11,11.1,12.21
山东,12,1.1,1.21
山西,1,-1.3,-1.43
山西,2,1.1,1.21
山西,3,8.1,8.91
山西,4,13.9,15.29
山西,5,17.1,18.81
山西,6,22.7,24.97
山西,7,23,25.3
山西,8,22.2,24.42
山西,9,17.9,19.69
山西,10,10.4,11.44
山西,11,6.6,7.26
山西,12,-0.9,-0.99
广东,1,14.5,15.95
广东,2,11.7,12.87
广东,3,20.2,22.22
广东,4,22.1,24.31
广东,5,23.7,26.07
广东,6,27.7,30.47
广东,7,30,33
广东,8,29.2,32.12
广东,9,28.6,31.46
广东,10,24.4,26.84
广东,11,21.5,23.65
广东,12,12.9,14.19
广西,1,12.1,13.31
广西,2,9.4,10.34
广西,3,19.8,21.78
广西,4,21.3,23.43
广西,5,22.9,25.19
广西,6,27.1,29.81
广西,7,29.1,32.01
广西,8,28.7,31.57
广西,9,27.7,30.47
广西,10,23.5,25.85
广西,11,20.9,22.99
广西,12,11.8,12.98
新疆,1,-3.5,-3.85
新疆,2,-1.5,-1.65
新疆,3,7.3,8.03
新疆,4,16,17.6
新疆,5,21.5,23.65
新疆,6,23.7,26.07
新疆,7,24.1,26.51
新疆,8,22.2,24.42
新疆,9,20.5,22.55
新疆,10,10.6,11.66
新疆,11,4.2,4.62
新疆,12,-6.3,-6.93
江苏,1,3.8,4.18
江苏,2,4.1,4.51
江苏,3,11.8,12.98
江苏,4,16.6,18.26
江苏,5,20.9,22.99
江苏,6,27,29.7
江苏,7,29.5,32.45
江苏,8,29.8,32.78
江苏,9,23,25.3
江苏,10,16.6,18.26
江苏,11,13.8,15.18
江苏,12,3.6,3.96
江西,1,5.8,6.38
江西,2,5.2,5.72
江西,3,14.6,16.06
江西,4,18.2,20.02
江西,5,21,23.1
江西,6,26.5,29.15
江西,7,29.4,32.34
江西,8,29.7,32.67
江西,9,25.3,27.83
江西,10,18.5,20.35
江西,11,15.6,17.16
江西,12,6,6.6
河北,1,-1.5,-1.65
河北,2,1.8,1.98
河北,3,6.5,7.15
河北,4,13.8,15.18
河北,5,18.2,20.02
河北,6,22.1,24.31
河北,7,25.1,27.61
河北,8,23.8,26.18
河北,9,20.4,22.44
河北,10,11.5,12.65
河北,11,6.7,7.37
河北,12,0,0
河南,1,1.9,2.09
河南,2,4.1,4.51
河南,3,12.1,13.31
河南,4,18.2,20.02
河南,5,21.6,23.76
河南,6,28.7,31.57
河南,7,27.7,30.47
河南,8,27.9,30.69
河南,9,23.7,26.07
河南,10,15.6,17.16
河南,11,11.8,12.98
河南,12,2.7,2.97
浙江,1,7.6,8.36
浙江,2,6.3,6.93
浙江,3,14.1,15.51
浙江,4,17.3,19.03
浙江,5,19.8,21.78
浙江,6,25.3,27.83
浙江,7,30.4,33.44
浙江,8,30.6,33.66
浙江,9,25,27.5
浙江,10,19.5,21.45
浙江,11,16.8,18.48
浙江,12,7.4,8.14
海南,1,20.8,22.88
海南,2,18,19.8
海南,3,24.4,26.84
海南,4,24.9,27.39
海南,5,26.4,29.04
海南,6,29.7,32.67
海南,7,29.4,32.34
海南,8,28.4,31.24
海南,9,28,30.8
海南,10,25.2,27.72
海南,11,24.9,27.39
海南,12,18.3,20.13
湖北,1,8.9,9.79
湖北,2,9.2,10.12
湖北,3,16.7,18.37
湖北,4,20.4,22.44
湖北,5,22.7,24.97
湖北,6,27.9,30.69
湖北,7,29.3,32.23
湖北,8,30,33
湖北,9,25.6,28.16
湖北,10,19.7,21.67
湖北,11,17.4,19.14
湖北,12,9.3,10.23
湖南,1,5.5,6.05
湖南,2,4.4,4.84
湖南,3,14.7,16.17
湖南,4,18.1,19.91
湖南,5,19.8,21.78
湖南,6,25.9,28.49
湖南,7,29,31.9
湖南,8,30.1,33.11
湖南,9,26,28.6
湖南,10,18.8,20.68
湖南,11,16.1,17.71
湖南,12,6.3,6.93
澳门,1,17.4,19.14
澳门,2,14.1,15.51
澳门,3,20.7,22.77
澳门,4,22.8,25.08
澳门,5,24.6,27.06
澳门,6,27.8,30.58
澳门,7,29.8,32.78
澳门,8,28.7,31.57
澳门,9,29.3,32.23
澳门,10,25.7,28.27
澳门,11,22.8,25.08
澳门,12,15.3,16.83
甘肃,1,-0.3,-0.33
甘肃,2,-0.1,-0.11
甘肃,3,7.9,8.69
甘肃,4,10.1,11.11
甘肃,5,15,16.5
甘肃,6,19.7,21.67
甘肃,7,20.1,22.11
甘肃,8,19.4,21.34
甘肃,9,15.8,17.38
甘肃,10,8.9,9.79
甘肃,11,5,5.5
甘肃,12,1.9,2.09
福建,1,11.9,13.09
福建,2,9.9,10.89
福建,3,17,18.7
福建,4,19.1,21.01
福建,5,20.5,22.55
福建,6,25.5,28.05
福建,7,29.2,32.12
福建,8,29.5,32.45
福建,9,27,29.7
福建,10,22.3,24.53
福建,11,19.5,21.45
福建,12,11.2,12.32
西藏,1,0.6,0.66
西藏,2,-0.2,-0.22
西藏,3,6.2,6.82
西藏,4,6.2,6.82
西藏,5,7.8,8.58
西藏,6,11,12.1
西藏,7,11.6,12.76
西藏,8,13.3,14.63
西藏,9,9.9,10.89
西藏,10,6.8,7.48
西藏,11,4.3,4.73
西藏,12,3.8,4.18
贵州,1,6.1,6.71
贵州,2,4.2,4.62
贵州,3,15.1,16.61
贵州,4,15.9,17.49
贵州,5,17.7,19.47
贵州,6,22.1,24.31
贵州,7,25.2,27.72
贵州,8,25.6,28.16
贵州,9,21.6,23.76
贵州,10,17.1,18.81
贵州,11,15.2,16.72
贵州,12,5.9,6.49
辽宁,1,-1.3,-1.43
辽宁,2,0.6,0.66
辽宁,3,4.3,4.73
辽宁,4,12.6,13.86
辽宁,5,17.1,18.81
辽宁,6,20.9,22.99
辽宁,7,25.1,27.61
辽宁,8,23.3,25.63
辽宁,9,19.3,21.23
辽宁,10,10.3,11.33
辽宁,11,5.8,6.38
辽宁,12,-0.5,-0.55
重庆,1,7.8,8.58
重庆,2,7.4,8.14
重庆,3,16.4,18.04
重庆,4,18.5,20.35
重庆,5,21,23.1
重庆,6,25.3,27.83
重庆,7,29.2,32.12
重庆,8,31.7,34.87
重庆,9,23.8,26.18
重庆,10,19,20.9
重庆,11,15.9,17.49
重庆,12,7.9,8.69
陕西,1,2.2,2.42
陕西,2,3.4,3.74
陕西,3,11.8,12.98
陕西,4,15.5,17.05
陕西,5,19,20.9
陕西,6,23.5,25.85
陕西,7,23.9,26.29
陕西,8,24.2,26.62
陕西,9,19.4,21.34
陕西,10,12.7,13.97
陕西,11,9,9.9
陕西,12,2.9,3.19
青海,1,-5,-5.5
青海,2,-4.8,-5.28
青海,3,2.3,2.53
青海,4,3,3.3
青海,5,6.6,7.26
青海,6,9.3,10.23
青海,7,10.9,11.99
青海,8,12.3,13.53
青海,9,7.6,8.36
青海,10,3.3,3.63
青海,11,-0.4,-0.44
青海,12,-5.8,-6.38
香港,1,17.6,19.36
香港,2,14.6,16.06
香港,3,21.3,23.43
香港,4,23.4,25.74
香港,5,25,27.5
