month,province,temp,wind_speed
1,上海,6.7,3.1
1,云南,10.3,2.3
1,内蒙古,-3.8,1.7
1,北京,-2.3,1.4
1,台湾,18.0,4.4
1,吉林,-4.9,2.6
1,四川,5.8,2.3
1,天津,-1.3,2.0
1,宁夏,-2.5,1.5
1,安徽,4.4,3.0
1,山东,0.4,2.5
1,山西,-1.3,1.6
1,广东,14.5,2.5
1,广西,12.1,2.3
1,新疆,-3.5,1.7
1,江苏,3.8,2.3
1,江西,5.8,1.8
1,河北,-1.5,1.7
1,河南,1.9,2.2
1,浙江,7.6,3.1
1,海南,20.8,2.4
1,湖北,8.9,2.1
1,湖南,5.5,2.2
1,澳门,17.4,3.7
1,甘肃,-0.3,1.8
1,福建,11.9,2.7
1,西藏,0.6,1.8
1,贵州,6.1,1.8
1,辽宁,-1.3,2.9
1,重庆,7.8,1.9
1,陕西,2.2,1.7
1,青海,-5.0,2.4
1,香港,17.6,3.7
2,上海,6.1,3.3
2,云南,10.1,2.7
2,内蒙古,-3.3,2.9
2,北京,0.3,1.9
2,台湾,17.0,4.4
2,吉林,-1.8,2.9
2,四川,5.2,2.7
2,天津,1.7,2.6
2,宁夏,-1.3,1.7
2,安徽,4.4,3.1
2,山东,2.7,2.9
2,山西,1.1,2.2
2,广东,11.7,2.9
2,广西,9.4,2.6
2,新疆,-1.5,1.8
2,江苏,4.1,2.4
2,江西,5.2,1.9
2,河北,1.8,2.4
2,河南,4.1,2.2
2,浙江,6.3,3.4
2,海南,18.0,2.7
2,湖北,9.2,2.2
2,湖南,4.4,2.1
2,澳门,14.1,5.2
2,甘肃,-0.1,2.1
2,福建,9.9,3.1
2,西藏,-0.2,2.1
2,贵州,4.2,2.0
2,辽宁,0.6,2.7
2,重庆,7.4,2.2
2,陕西,3.4,1.8
2,青海,-4.8,3.1
2,香港,14.6,4.3
2,黑龙江,-2.4,3.9
3,上海,13.6,3.8
3,云南,17.1,2.7
3,内蒙古,2.9,3.5
3,北京,6.7,2.1
3,台湾,21.4,3.4
3,吉林,1.4,3.1
3,四川,11.9,2.4
3,天津,7.4,3.0
3,宁夏,10.4,2.2
3,安徽,12.8,3.8
3,山东,8.5,3.6
3,山西,8.1,2.6
3,广东,20.2,2.5
3,广西,19.8,2.4
3,新疆,7.3,2.6
3,江苏,11.8,3.0
3,江西,14.6,2.3
3,河北,6.5,2.6
3,河南,12.1,2.8
3,浙江,14.1,3.3
3,海南,24.4,2.4
3,湖北,16.7,2.5
3,湖南,14.7,2.8
3,澳门,20.7,3.3
3,甘肃,7.9,2.9
3,福建,17.0,2.7
3,西藏,6.2,2.1
3,贵州,15.1,2.3
3,辽宁,4.3,3.2
3,重庆,16.4,2.4
3,陕西,11.8,2.3
3,青海,2.3,2.8
3,香港,21.3,4.0
3,黑龙江,0.1,3.2
4,上海,17.4,3.5
4,云南,16.6,2.4
4,内蒙古,8.1,3.8
4,北京,15.7,2.8
4,台湾,23.2,3.7
4,吉林,9.9,4.1
4,四川,10.8,2.2
4,天津,16.5,3.6
4,宁夏,13.1,2.1
4,安徽,17.0,3.3
4,山东,14.7,3.5
4,山西,13.9,2.7
4,广东,22.1,2.6
4,广西,21.3,2.4
4,新疆,16.0,2.9
4,江苏,16.6,2.5
4,江西,18.2,2.4
4,河北,13.8,2.7
4,河南,18.2,2.9
4,浙江,17.3,3.0
4,海南,24.9,2.6
4,湖北,20.4,2.5
4,湖南,18.1,2.6
4,澳门,22.8,3.9
4,甘肃,10.1,3.1
4,福建,19.1,2.8
4,西藏,6.2,1.9
4,贵州,15.9,2.0
4,辽宁,12.6,3.7
4,重庆,18.5,2.5
4,陕西,15.5,2.2
4,青海,3.0,2.5
4,香港,23.4,3.7
4,黑龙江,6.3,3.7
5,上海,20.7,3.2
5,云南,18.3,2.0
5,内蒙古,14.0,3.5
5,北京,20.7,2.7
5,台湾,24.4,3.3
5,吉林,14.8,3.6
5,四川,14.3,2.2
5,天津,21.9,3.2
5,宁夏,17.8,2.0
5,安徽,20.2,3.0
5,山东,19.5,3.3
5,山西,17.1,2.8
5,广东,23.7,2.3
5,广西,22.9,2.1
5,新疆,21.5,3.2
5,江苏,20.9,2.4
5,江西,21.0,2.2
5,河北,18.2,2.7
5,河南,21.6,2.9
5,浙江,19.8,2.5
5,海南,26.4,2.4
5,湖北,22.7,2.2
5,湖南,19.8,2.1
5,澳门,24.6,4.1
5,甘肃,15.0,3.1
5,福建,20.5,2.6
5,西藏,7.8,1.9
5,贵州,17.7,1.7
5,辽宁,17.1,3.3
5,重庆,21.0,2.1
5,陕西,19.0,2.2
5,青海,6.6,2.5
5,香港,25.0,3.5
5,黑龙江,12.7,3.5
6,上海,26.7,3.7
6,云南,20.3,2.1
6,内蒙古,18.9,3.0
6,北京,25.1,2.5
6,台湾,28.4,3.2
6,吉林,19.6,2.6
